Wall time,Step,Value
1673780292.7395554,500,0.5
1673780356.9210005,1000,1.0
1673780424.1847718,1500,1.5
1673780488.2591994,2000,2.0
1673780555.3009958,2500,2.5
1673780619.6891716,3000,3.0
1673780686.3328989,3500,3.5
1673780748.9067278,4000,4.0
1673780814.2861059,4500,4.5
1673780876.8272343,5000,5.0
1673780943.2760491,5500,5.5
1673781006.8339763,6000,6.0
1673781073.7967167,6500,6.5
1673781137.6558123,7000,7.0
1673781203.1843464,7500,7.5
1673781265.7519658,8000,8.0
1673781331.3873618,8500,8.5
1673781394.1820433,9000,9.0
1673781461.8071227,9500,9.5
1673781525.0276713,10000,10.0
1673781593.7998526,10500,10.5
1673781656.9529164,11000,11.0
1673781725.3744714,11500,11.5
1673781788.072429,12000,12.0
1673781854.6255283,12500,12.5
1673781916.8632698,13000,13.0
1673781983.139491,13500,13.5
1673782046.5050044,14000,14.0
1673782113.9416494,14500,14.5
1673782651.1475182,15000,15.0
