Wall time,Step,Value
1673780292.7389684,500,1.9333332602400333e-05
1673780351.2349164,1000,1.8666667529032566e-05
1673780424.184718,1500,1.8000000636675395e-05
1673780482.5098286,2000,1.7333333744318224e-05
1673780555.300917,2500,1.6666666851961054e-05
1673780613.9786365,3000,1.5999999959603883e-05
1673780686.3328552,3500,1.5333333067246713e-05
1673780743.2268486,4000,1.4666667084384244e-05
1673780814.2860672,4500,1.4000000192027073e-05
1673780871.166763,5000,1.3333333299669903e-05
1673780943.2759383,5500,1.2666666407312732e-05
1673781001.084816,6000,1.2000000424450263e-05
1673781073.79664,6500,1.1333333532093093e-05
1673781131.9368272,7000,1.0666666639735922e-05
1673781203.1840978,7500,9.999999747378752e-06
1673781260.0681856,8000,9.333333764516283e-06
1673781331.3873045,8500,8.666666872159112e-06
1673781388.5187838,9000,7.999999979801942e-06
1673781461.807077,9500,7.333333542192122e-06
1673781519.3536248,10000,6.666666649834951e-06
1673781593.7998111,10500,6.000000212225132e-06
1673781651.2195969,11000,5.333333319867961e-06
1673781725.3744152,11500,4.666666882258141e-06
1673781782.4086635,12000,3.999999989900971e-06
1673781854.6254754,12500,3.3333333249174757e-06
1673781911.184064,13000,2.6666666599339806e-06
1673781983.1394343,13500,1.9999999949504854e-06
1673782040.7583725,14000,1.3333333299669903e-06
1673782113.9415984,14500,6.666666649834951e-07
1673782172.1852539,15000,0.0
